time,open,high,low,close,tick_volume,real_volume,buffer0,buffer1,buffer2,buffer3,buffer4,buffer5,buffer6,buffer7,buffer8,buffer9
1785715200,100.0,100.0,100.0,100.0,100,20,EMPTY,EMPTY,EMPTY,EMPTY,EMPTY,EMPTY,EMPTY,EMPTY,EMPTY,EMPTY
1785715260,100.5,100.5,100.5,100.5,100,21,EMPTY,EMPTY,EMPTY,EMPTY,EMPTY,100,100,EMPTY,0.0049875415110385291,EMPTY
1785715320,101.0,101.0,101.0,101.0,100,22,EMPTY,EMPTY,EMPTY,EMPTY,EMPTY,100,100,EMPTY,0.0049627893421293479,EMPTY
1785715380,101.5,101.5,101.5,101.5,100,23,EMPTY,EMPTY,EMPTY,EMPTY,EMPTY,100,100,EMPTY,0.0049382816405820762,EMPTY
1785715440,102.0,102.0,102.0,102.0,100,24,EMPTY,EMPTY,EMPTY,EMPTY,EMPTY,100,100,EMPTY,0.0049140148024289232,EMPTY
1785715500,102.5,102.5,102.5,102.5,100,25,EMPTY,EMPTY,EMPTY,EMPTY,EMPTY,100,100,EMPTY,0.0048899852941923783,EMPTY
1785715560,103.0,103.0,103.0,103.0,100,26,EMPTY,EMPTY,EMPTY,EMPTY,EMPTY,100,100,EMPTY,0.0048661896511728031,EMPTY
1785715620,103.5,103.5,103.5,103.5,100,27,EMPTY,EMPTY,EMPTY,EMPTY,EMPTY,100,100,EMPTY,0.0048426244757875381,EMPTY
1785715680,104.0,104.0,104.0,104.0,100,28,EMPTY,EMPTY,EMPTY,EMPTY,EMPTY,100,100,EMPTY,0.0048192864359490883,EMPTY
1785715740,104.5,104.5,104.5,104.5,100,29,EMPTY,EMPTY,EMPTY,EMPTY,EMPTY,100,100,EMPTY,0.0047961722634930481,EMPTY
1785715800,105.0,105.0,105.0,105.0,100,30,EMPTY,EMPTY,EMPTY,EMPTY,EMPTY,100,100,EMPTY,0.0047732787526575393,EMPTY
1785715860,105.5,105.5,105.5,105.5,100,31,EMPTY,EMPTY,EMPTY,EMPTY,EMPTY,100,100,EMPTY,0.0047506027585981769,EMPTY
1785715920,106.0,106.0,106.0,106.0,100,32,EMPTY,EMPTY,EMPTY,EMPTY,EMPTY,100,100,EMPTY,0.0047281411959456676,EMPTY
